"FEATURE_ID","RT","PEPMASS","SIGMA_SCORE","NAME_METABOSCAPE","MOLECULAR_FORMULA","ADDUCT","KEGG","CAS","MaxIntensity","sample_blank_MeanIntensity","sample_full_mix_MeanIntensity","50MeOH_10570","50MeOH_10571","50MeOH_10572","FullMix_10574","FullMix_10577","FullMix_10580"
556,384.44,112.05240,15.700,"1,3-Cyclohexanedione","C6H8O2",ION=[M+H]+,,,10140.11,171.22,9462.68,414.15,51.67,47.84,10140.11,9047.67,9200.26
557,384.75,238.12052,11.510,"1-(3-Ethyl-2,4-dihydroxy-6-methoxyphenyl)-1-butanone","C13H18O4",ION=[M+H]+,,,4148.48,159.85,3974.16,152.66,176.57,150.32,3920.56,4148.48,3853.44
558,384.76,418.23450,28.709,"Pro Arg Phe","C20H30N6O4",ION=[M+H]+,,,7051.51,35.86,6505.01,81.30,0.00,26.27,6375.59,7051.51,6087.91
559,384.97,657.50222,,,,ION=[M+H]+,,,74773.85,58427.88,71289.03,55039.00,59128.63,61116.00,74773.85,67768.70,71324.55
560,385.23,685.34998,,,,ION=[M+H]+,,,13714.92,1841.43,12367.56,2319.54,1839.74,1365.02,13714.92,11891.37,11496.39
561,385.29,701.52801,41.509,"LDGCC 32:6","C42H71NO7",ION=[M+H]+,,,30968.27,16226.17,28652.10,18747.32,14878.41,15052.78,30968.27,29659.81,25328.21
562,385.54,713.38125,,,,ION=[M+H]+,,,7203.23,625.79,6692.65,658.52,454.26,764.60,6102.87,7203.23,6771.84
563,385.85,613.47652,,,,ION=[M+H]+,,,135224.94,117898.83,132002.99,117978.02,114878.06,120840.41,135224.94,129462.03,131322.00
564,385.96,2047.48960,,,,ION=[M+H+H]2+,,,223663.47,191260.08,135020.09,166112.13,184004.64,223663.47,181840.97,223219.30,0.00
565,386.75,569.44995,,,,ION=[M+H]+,,,257020.16,237992.44,247038.88,235096.00,238863.28,240018.03,257020.16,244561.63,239534.86
